id;order_id;sku;quantity;code_color
327138;144296;1425_40130843_0_38;1;20000686_002
327139;144296;379_1000096_0_40;1;10000215_048
327140;144297;3641_219_0_P;1;20001618_589
327141;144298;2939_7_0_42;1;20001321_069
327142;144299;4223_1000030_0_U;1;20001879_015
327143;144299;5779_1000048_0_U;1;20002596_024
327144;144300;4465_1000032_0_M;1;20002012_016
327145;144300;5091_1000054_0_U;1;20002291_027
327150;144302;1433_40130847_0_U;1;20000693_004
327151;144302;70976562_40130845_0_U;1;13770142_003
327153;144303;1947_1000116_0_U;1;20000941_058
327152;144303;4835_1000016_0_U;1;20002166_008
327154;144303;70976714_1000030_0_U;1;15150012_015
327155;144304;2303_1000096_0_38;1;20001102_048
327158;144305;3117_73_0_U;1;20001416_534
327156;144305;4585_40130845_0_U;1;20002046_003
327157;144305;70976596_40130845_0_U;1;15400182_003
327159;144306;3713_1000020_0_G;1;20001657_010
327160;144306;4047_1000054_0_U;1;20001794_027
327161;144306;4097_257_0_M;1;20001819_593
327163;144307;2837_137_0_40;1;20001266_557
327162;144307;2837_145_0_40;1;20001266_561
327164;144308;114_40130847_0_M;1;10000056_004
327166;144308;2567_97_0_P;1;20001171_542
327167;144308;2689_40130843_0_U;1;20001226_002
327165;144308;70976534_1000016_0_U;1;15400074_008
327168;144309;128_1000072_0_G;1;10000063_036
327170;144309;2891_145_0_M;1;20001297_561
327169;144309;70976792_1000074_0_42;1;16040017_037
327172;144310;4451_1000030_0_G;1;20002005_015
327171;144310;70975884_1000058_0_G;1;14590184_029
327173;144311;70976702_1000116_0_U;1;14970002_058
327183;144316;2249_1000032_0_M;1;20001079_016
327179;144316;4087_261_0_M;1;20001814_595
327178;144316;4087_265_0_M;1;20001814_597
327182;144316;4119_261_0_40;1;20001831_595
327181;144316;4129_257_0_G;1;20001836_593
327180;144316;4129_279_0_M;1;20001836_602
327184;144317;2543_40130843_0_M;1;20001158_002
327185;144318;2689_40130843_0_U;1;20001226_002
327186;144318;3301_40130843_0_U;1;20001487_002
327187;144319;70975990_273_0_P;1;15560017_599
327188;144320;4453_1000032_0_M;1;20002006_016
327189;144320;4453_1000036_0_M;1;20002006_018
327190;144321;3683_217_0_40;1;20001638_588
327191;144322;4047_1000054_0_U;1;20001794_027
327192;144323;2287_1000030_0_40;1;20001094_015
327194;144323;2603_1000032_0_U;1;20001188_016
327193;144323;4115_40130847_0_M;1;20001829_004
327197;144324;114_40130847_0_M;1;10000056_004
327198;144324;2891_141_0_M;1;20001297_559
327195;144324;70975504_40130843_0_40;1;15540003_002
327196;144324;70975504_40130847_0_40;1;15540003_004
327200;144325;3703_40130843_0_G;1;20001651_002
327199;144325;3789_233_0_40;1;20001696_063
327203;144327;2779_161_0_M;1;20001241_153
327204;144328;114_40130847_0_G;2;10000056_004
327205;144328;4087_257_0_G;1;20001814_593
327207;144329;114_40130847_0_M;1;10000056_004
327206;144329;128_1000072_0_G;1;10000063_036
327208;144330;1087_40130843_0_U;1;20000517_002
327209;144331;3869_173_0_U;1;20001740_179
327212;144332;70976078_40130845_0_U;1;14880123_003
327210;144332;70976114_1000018_0_U;1;15480002_009
327211;144332;70976206_1000084_0_U;1;14880131_042
327213;144333;379_1000096_0_42;1;10000215_048
327214;144333;4115_40130843_0_G;1;20001829_002
