id;user_id;date;subtotal;discount;total;status;payment_type;shipping_cost;shipping_service;address_city;address_state;utm_source_medium;device_type
144296;16423318;01/02/2016 00:11;234.8;0;234.8;DELIVERED;CREDIT CARD;15.39;Correios PAC;Brasília;DF;google / organic;iOS
144297;145191;01/02/2016 00:18;109.9;0;119.8;DELIVERED;CREDIT CARD;9.9;Loggi Express;São Paulo;SP;google / organic;MobileWeb
144298;16425516;01/02/2016 00:18;59.9;0;69.02;CANCELLED;BOLETO;9.12;Correios eSedex;Belo Horizonte;MG;truquefeminino.com.br / referral;iOS
144299;29481;01/02/2016 00:19;169.8;0;178.92;CANCELLED;BOLETO;9.12;Correios eSedex;Rio de Janeiro;RJ;20510 / fbx;MobileWeb
144300;16375488;01/02/2016 00:26;289.8;0;289.8;DELIVERED;CREDIT CARD;13.32;Correios PAC;Saquarema;RJ;modait / cpc;MobileWeb
144302;16430180;01/02/2016 00:51;59.8;0;68.92;CANCELLED;BOLETO;9.12;Correios eSedex;Curitiba;PR;facebook / cpc;android
144303;16412554;01/02/2016 00:55;289.7;0;289.7;CANCELLED;BOLETO;22.34;Correios PAC;Teresina;PI;20510 / web;MobileWeb
144304;164949;01/02/2016 00:55;109.9;0;119.02;DELIVERED;CREDIT CARD;9.12;Correios eSedex;Rio de Janeiro;RJ;zanox / deeplink;iOS
144305;16430182;01/02/2016 01:01;64.7;0;73.28;DELIVERED;CREDIT CARD;8.58;Correios eSedex;Santos;SP;google / cpc;MobileWeb
144306;16397410;01/02/2016 01:06;284.7;0;284.7;DELIVERED;CREDIT CARD;9.9;Loggi Express;São Paulo;SP;20510 / fbx;MobileWeb
144307;16418522;01/02/2016 01:15;209.8;0;209.8;DELIVERED;CREDIT CARD;24.41;Correios PAC;Campina Grande;PB;zanox / deeplink;MobileWeb
144308;104234;01/02/2016 01:56;114.6;0;137.12;DELIVERED;BOLETO;22.52;Correios PAC;Vitória da Conquista;BA;email / newsletter;MobileWeb
144309;150266;01/02/2016 02:22;99.7;0;123.63;DELIVERED;CREDIT CARD;23.93;Correios PAC;Recife;PE;email / newsletter;MobileWeb
144310;16419240;01/02/2016 02:27;259.8;0;259.8;DELIVERED;CREDIT CARD;9.9;Loggi Express;São Paulo;SP;criteo / web;iOS
144311;16430189;01/02/2016 02:30;49.9;0;66.21;DELIVERED;CREDIT CARD;16.31;Correios PAC;Valparaíso de Goiás;GO; / (not set);android
144316;290522;01/02/2016 03:31;479.4;0;504.32;DELIVERED;CREDIT CARD;24.92;Correios eSedex;Poços de Caldas;MG;instagram / organic;android
144317;16430193;01/02/2016 04:56;49.9;0;66.41;CANCELLED;BOLETO;16.51;Correios eSedex;Salvador;BA;email / welcome;MobileWeb
144318;16412554;01/02/2016 05:00;54.8;0;54.8;CANCELLED;BOLETO;22.34;Correios PAC;Teresina;PI;20510 / fbx;MobileWeb
144319;155950;01/02/2016 07:11;119.9;0;119.9;DELIVERED;CREDIT CARD;6.16;Carriers;São Paulo;SP;20510 / fbx;MobileWeb
144320;264380;01/02/2016 07:48;219.8;0;219.8;CANCELLED;BOLETO;9.9;Loggi Express;São Paulo;SP;dashboard.zopim.com / referral;MobileWeb
144321;269509;01/02/2016 08:06;99.9;0;107.38;DELIVERED;CREDIT CARD;7.48;Correios eSedex;Barueri;SP;google / organic;MobileWeb
144322;35315;01/02/2016 08:15;139.9;0;155.72;DELIVERED;CREDIT CARD;15.82;Correios eSedex;Teresópolis;RJ;google / cpc;MobileWeb
144323;56386;01/02/2016 08:16;284.7;0;284.7;DELIVERED;CREDIT CARD;20.04;Correios PAC;Salvador;BA;facebook / cpc;MobileWeb
144324;16401149;01/02/2016 08:19;114.6;0;135.04;DELIVERED;CREDIT CARD;20.44;Correios PAC;Sorriso;MT;criteo / web;MobileWeb
144325;6603081;01/02/2016 08:24;169.8;0;178.92;DELIVERED;CREDIT CARD;9.12;Correios eSedex;Duque de Caxias;RJ;20510 / web;MobileWeb
144327;16367062;01/02/2016 08:37;104.9;0;111.57;DELIVERED;CREDIT CARD;6.67;Carriers;Santo André;SP;google / organic;MobileWeb
144328;16430205;01/02/2016 08:38;99.7;0;113.56;DELIVERED;CREDIT CARD;13.86;Correios PAC;Belo Horizonte;MG;zanox / deeplink;MobileWeb
144329;16390870;01/02/2016 08:40;44.8;0;54.7;DELIVERED;CREDIT CARD;9.9;Loggi Express;São Paulo;SP;zanox / deeplink;MobileWeb
144330;65785;01/02/2016 08:50;79.9;0;94.26;CANCELLED;BOLETO;14.36;Correios PAC;Porto Alegre;RS;facebook / cpc;MobileWeb
144331;17842;01/02/2016 08:52;49.9;0;57.38;CANCELLED;BOLETO;7.48;Correios eSedex;Biritiba-Mirim;SP;google / organic;MobileWeb
144332;16430215;01/02/2016 08:58;114.7;0;123.82;CANCELLED;BOLETO;9.12;Correios eSedex;Rio de Janeiro;RJ;google / cpc;MobileWeb
144333;16430219;01/02/2016 09:03;249.8;0;249.8;CANCELLED;BOLETO;14.27;Correios PAC;Araruama;RJ;criteo / web;MobileWeb
